,label_name,recommendedDisplayRGBValue,Model,Structure JSON,label_id,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
58,trachea,"[182, 228, 255]",organs,"trachea: ""19""",19,SCT,123037004,Anatomical Structure,SCT,44567001,Trachea,,,,,,,,,
59,vertebrae_C1,"[255, 186, 107]",vertebrae,"vertebra_C1: ""1"",",1,SCT,123037004,Anatomical Structure,SCT,14806007,C1 vertebra,,,,,,,,,
60,vertebrae_C2,"[193, 99, 36]",vertebrae,"vertebra_C2: ""2"",",2,SCT,123037004,Anatomical Structure,SCT,39976000,C2 vertebra,,,,,,,,,
61,vertebrae_C3,"[167, 117, 152]",vertebrae,"vertebra_C3: ""3"",",3,SCT,123037004,Anatomical Structure,SCT,113205007,C3 vertebra,,,,,,,,,
62,vertebrae_C4,"[250, 14, 116]",vertebrae,"vertebra_C4: ""4"",",4,SCT,123037004,Anatomical Structure,SCT,5329002,C4 vertebra,,,,,,,,,
63,vertebrae_C5,"[118, 40, 9]",vertebrae,"vertebra_C5: ""5"",",5,SCT,123037004,Anatomical Structure,SCT,36978003,C5 vertebra,,,,,,,,,
64,vertebrae_C6,"[253, 134, 125]",vertebrae,"vertebra_C6: ""6"",",6,SCT,123037004,Anatomical Structure,SCT,36054005,C6 vertebra,,,,,,,,,
65,vertebrae_C7,"[255, 0, 0]",vertebrae,"vertebra_C7: ""7"",",7,SCT,123037004,Anatomical Structure,SCT,87391001,C7 vertebra,,,,,,,,,
66,vertebrae_T1,"[0, 2, 145]",vertebrae,"vertebra_T1: ""8"",",8,SCT,123037004,Anatomical Structure,SCT,64864005,T1 vertebra,,,,,,,,,
67,vertebrae_T2,"[141, 186, 216]",vertebrae,"vertebra_T2: ""9"",",9,SCT,123037004,Anatomical Structure,SCT,53733008,T2 vertebra,,,,,,,,,
68,vertebrae_T3,"[30, 128, 188]",vertebrae,"vertebra_T3: ""10"",",10,SCT,123037004,Anatomical Structure,SCT,1626008,T3 vertebra,,,,,,,,,
69,vertebrae_T4,"[73, 228, 202]",vertebrae,"vertebra_T4: ""11"",",11,SCT,123037004,Anatomical Structure,SCT,73071006,T4 vertebra,,,,,,,,,
70,vertebrae_T5,"[8, 82, 73]",vertebrae,"vertebra_T5: ""12"",",12,SCT,123037004,Anatomical Structure,SCT,56401006,T5 vertebra,,,,,,,,,
71,vertebrae_T6,"[88, 119, 255]",vertebrae,"vertebra_T6: ""13"",",13,SCT,123037004,Anatomical Structure,SCT,45296009,T6 vertebra,,,,,,,,,
72,vertebrae_T7,"[109, 0, 145]",vertebrae,"vertebra_T7: ""14"",",14,SCT,123037004,Anatomical Structure,SCT,62487009,T7 vertebra,,,,,,,,,
73,vertebrae_T8,"[164, 216, 199]",vertebrae,"vertebra_T8: ""15"",",15,SCT,123037004,Anatomical Structure,SCT,11068009,T8 vertebra,,,,,,,,,
74,vertebrae_T9,"[96, 188, 62]",vertebrae,"vertebra_T9: ""16"",",16,SCT,123037004,Anatomical Structure,SCT,82687006,T9 vertebra,,,,,,,,,
75,vertebrae_T10,"[26, 97, 228]",vertebrae,"vertebra_T10: ""17"",",17,SCT,123037004,Anatomical Structure,SCT,7610001,T10 vertebra,,,,,,,,,
76,vertebrae_T11,"[16, 164, 144]",vertebrae,"vertebra_T11: ""18"",",18,SCT,123037004,Anatomical Structure,SCT,12989004,T11 vertebra,,,,,,,,,
77,vertebrae_T12,"[166, 89, 255]",vertebrae,"vertebra_T12: ""19"",",19,SCT,123037004,Anatomical Structure,SCT,23215003,T12 vertebra,,,,,,,,,
78,vertebrae_L1,"[255, 255, 1]",vertebrae,"vertebra_L1: ""20"",",20,SCT,123037004,Anatomical Structure,SCT,66794005,L1 vertebra,,,,,,,,,
79,vertebrae_L2,"[255, 144, 32]",vertebrae,"vertebra_L2: ""21"",",21,SCT,123037004,Anatomical Structure,SCT,14293000,L2 vertebra,,,,,,,,,
80,vertebrae_L3,"[157, 126, 0]",vertebrae,"vertebra_L3: ""22"",",22,SCT,123037004,Anatomical Structure,SCT,36470004,L3 vertebra,,,,,,,,,
81,vertebrae_L4,"[255, 255, 128]",vertebrae,"vertebra_L4: ""23"",",23,SCT,123037004,Anatomical Structure,SCT,11994002,L4 vertebra,,,,,,,,,
82,vertebrae_L5,"[117, 78, 55]",vertebrae,"vertebra_L5: ""24"",",24,SCT,123037004,Anatomical Structure,SCT,49668003,L5 vertebra,,,,,,,,,
83,vertebrae_L6,,vertebrae,"vertebra_L6: ""25"",",25,SCT,123037004,Anatomical Structure,SCT,1156198008,L6 vertebra,,,,,,,,,
84,hip_left,"[241, 214, 145]",vertebrae,"hip_left: ""26"",",26,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,7771000.0,Left,,,,,,
85,hip_right,"[241, 214, 145]",vertebrae,"hip_right: ""27"",",27,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,24028007.0,Right,,,,,,
86,sacrum,"[163, 140, 140]",vertebrae,"sacrum: ""28""",28,SCT,123037004,Anatomical Structure,SCT,54735007,Sacrum,,,,,,,,,
