,label_name,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator_x,AnatomicRegionModifierSequence.CodeValue_x,AnatomicRegionModifierSequence.CodeMeaning_x,recommendedDisplayRGBValue,recommendedDisplayRGBValue.R,recommendedDisplayRGBValue.G,recommendedDisplayRGBValue.B,label_id,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y
97,rib_left_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,7771000.0,Left,,,,,,,"[8, 82, 73]",8.0,82.0,73.0,98,,,,,,
98,rib_left_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,7771000.0,Left,,,,,,,"[88, 119, 255]",88.0,119.0,255.0,99,,,,,,
99,rib_left_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,7771000.0,Left,,,,,,,"[109, 0, 145]",109.0,0.0,145.0,100,,,,,,
100,rib_left_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,7771000.0,Left,,,,,,,"[164, 216, 199]",164.0,216.0,199.0,101,,,,,,
101,rib_left_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,7771000.0,Left,,,,,,,"[96, 188, 62]",96.0,188.0,62.0,102,,,,,,
102,rib_left_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,7771000.0,Left,,,,,,,"[26, 97, 228]",26.0,97.0,228.0,103,,,,,,
103,rib_left_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,7771000.0,Left,,,,,,,"[16, 164, 144]",16.0,164.0,144.0,104,,,,,,
104,rib_left_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,7771000.0,Left,,,,,,,"[166, 89, 255]",166.0,89.0,255.0,105,,,,,,
105,rib_right_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,24028007.0,Right,,,,,,,"[0, 2, 145]",0.0,2.0,145.0,106,,,,,,
106,rib_right_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,24028007.0,Right,,,,,,,"[141, 186, 216]",141.0,186.0,216.0,107,,,,,,
107,rib_right_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,24028007.0,Right,,,,,,,"[8, 82, 73]",8.0,82.0,73.0,108,,,,,,
108,rib_right_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,24028007.0,Right,,,,,,,"[88, 119, 255]",88.0,119.0,255.0,109,,,,,,
109,rib_right_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,24028007.0,Right,,,,,,,"[109, 0, 145]",109.0,0.0,145.0,110,,,,,,
110,rib_right_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,24028007.0,Right,,,,,,,"[164, 216, 199]",164.0,216.0,199.0,111,,,,,,
111,rib_right_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,24028007.0,Right,,,,,,,"[96, 188, 62]",96.0,188.0,62.0,112,,,,,,
112,rib_right_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,24028007.0,Right,,,,,,,"[26, 97, 228]",26.0,97.0,228.0,113,,,,,,
113,rib_right_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,24028007.0,Right,,,,,,,"[16, 164, 144]",16.0,164.0,144.0,114,,,,,,
114,rib_right_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,24028007.0,Right,,,,,,,"[166, 89, 255]",166.0,89.0,255.0,115,,,,,,
115,sternum,SCT,123037004,Anatomical Structure,SCT,56873002,Sternum,,,,,,,,,,"[0, 230, 118]",,,,116,,,,,,
116,costal_cartilages,SCT,123037004,Anatomical Structure,SCT,50016007,Costal cartilage,,,,,,,,,,"[138, 43, 226]",,,,117,,,,,,
